District,Facility Type,Material Type,Facility ID,Facility Description,Company,Contact Person,Contact Email,Telephone Number,Physical Address,P-Address Line 2,P-Address City,P-Address State,P-Address Zip,P-Address Country,Latitude,Longitude,Mailing Address,M-Address Line 2,M-Address City,M-Address State,M-Address Zip,M-Address Country,Facility Status,Facility Status Date,QCP Status,QCP Status Date
District 3,Plant,Structural Concrete,MS-296,GULF COAST PRESTRESS,"Gulf Coast Pre-Stress, Inc.",LARRY NICELY,dtheobald@gcprestress.com,(228) 452-9495,494 NORTH MARKET STREET,,PASS CHRISTIAN,Mississippi,39571,,30.332520,-89.253113,P. O. BOX 825,,PASS CHRISTIAN,Mississippi,39571,,Under Review,6/23/2015,Inactivated,2/4/2025
District 3,Plant,Structural Concrete,MS-297,GULF COAST PRESTRESS NORTH PLANT,"Gulf Coast Pre-Stress, Inc.",LARRY NICELY,lnicely@gcprestress.com,(228) 452-9486,494 N MARKET STREET,,PASS CHRISTIAN,Mississippi,39571,,30.332520,-89.253113,P.O. BOX 825,,PASS CHRISTIAN,Mississippi,39571,,Under Review,6/23/2015,Inactivated,2/4/2025
District 4,Mine,Aggregate,86740,BIG CYPRESS MINE,Seminole Tribe of Florida,clyde beckett,clydebeckett@semtribe.com,(863) 902-3289 x13716,30202 AIRPORT ROAD,,WESTON,Florida,33326,,26.324150,-80.851780,30290 josie billie hwy pmb226,,CLEWISTON,Florida,33440,,Inactivated,2/17/2012,Accepted,9/23/2016
District 4,Mine,Aggregate,86900,Seminole Big Cypress Mine,"Tomahawk Construction, LLC",KIM THOMPSON,kim@tomahawkconstruction.com,(239) 810-1148,3032,Airport Rd,Weston,Florida,33326,,26.321940,-80.856120,4390 SR29,,LaBelle,Florida,32114,,Approved,4/11/2023,Accepted,4/11/2023
District 4,Mine,Aggregate,88749,WILD TURKEY ESTATES,Wild Turkey Estates,CHRISTOPHER HAMPTON,chriswildturkey@gmail.com,(772) 299-4800,4705 82ND AVENUE,,VERO BEACH,Florida,32967,,27.679400,-80.495350,4705 82ND AVENUE,,VERO BEACH,Florida,32967,,Approved,5/16/2012,Accepted,9/23/2016
District 4,Mine,Aggregate,88783,BLUE GOOSE MINE,Blue Goose Construction,JEFF MURRAY,jmurray@headwatersisles.com,(772) 216-5102,5955 82ND AVE,,VERO BEACH,Florida,32966,,27.702000,-80.505000,5955 82ND AVE,,VERO BEACH,Florida,32966,,Approved,2/7/2014,Accepted,9/23/2016
District 4,Mine,Aggregate,89673,Arcosa Aggregates,Arcosa Aggregates,VERNON SLUNAKER,vernon.slunaker@arcosa.com,(225) 369-4497,25818 SW KANNER HIGHWAY,,PORT MAYACA,Florida,34956,,26.986560,-80.600070,25818 SW KANNER HIGHWAY,,PORT MAYACA,Florida,34956,,Approved,4/17/2008,Accepted,2/8/2024
District 4,Mine,Aggregate,93366,STAR QUARRIES LLC,Star Quarries LLC,Adam Slovenski,aslovenski@starquarries.com,(561) 996-7515,12201 U.S. HWY 27 SOUTH,,SOUTH BAY,Florida,33493,,26.504090,-80.672350,P.O. BOX 777,,SOUTH BAY,Florida,33493,,Approved,12/10/2001,Accepted,6/2/2021
District 4,Mine,Aggregate,93406,PALM BEACH AGGREGATES INC.,"Palm Beach Aggregates, Inc.",TRAVIS BURKE,tburke@palmbeachag.com,(561) 985-4010,20125 SR 80,,LOXAHATCHEE,Florida,33470,,26.689310,-80.372850,P.O. BOX 700,,LOXAHATCHEE,Florida,33470,,Approved,10/1/2001,Accepted,9/23/2016
District 4,Mine,Aggregate,93721,Stavola Aggregate Supply,Stavola Aggregate Supply,Brian Dodson,brdodsonqc@gmail.com,(863) 623-7822,18500 US HIGHWAY 441 N,,CANAL POINT,Florida,33438,,26.950606,-80.596424,661 UNIVERSITY BLVD. SUITE 200,,JUPITER,Florida,33458,,Approved,3/12/2010,Accepted,9/23/2016
District 4,Mine,Aggregate,93793,D.S. EAKINS CONSTRUCTION CO.,D.S. Eakins Construction Corporation,STEVE EAKINS,steve@dseakins.com,(561) 842-0001,550 BENOIST FARMS ROAD,,WEST PALM BEACH,Florida,33411,,26.685775,-80.171839,1481 KINETIC ROAD,,LAKE PARK,Florida,33403,,Approved,6/23/2015,Accepted,9/23/2016
District 4,Mine,Aggregate,93824,Coastal Materials c27 WPB,Coastal Materials Management LLC,DOUG PRYOR,dpryor@lglrecycling.com,(561) 232-9034,6619 Wallis Road,,West Palm Beach,Florida,33413,,26.681143,-80.151472,6619 Wallis Road,,West Palm Beach,Florida,33413,,Approved,5/2/2017,Accepted,5/2/2017
District 4,Mine,Aggregate,93875,Florida Recycling services,Florida Recycling Services,COREY CHOQUETTE,Corey@mjclanddev.com,(561) 662-0699,2056 F Road,,Loxahatchee,Florida,33470,,26.706811,-80.255984,1128 Royal Palm Beach Blvd,STE 340,Royal Palm Beach,Florida,33411,,Inactivated,10/24/2024,Accepted,10/13/2020
District 4,Mine,Aggregate,93929,"S MACDONALD CONTRACTING, LLC","S MACDONALD CONTRACTING, LLC",LONI HERSH,loni@smccontracting.com,(561) 385-1164,3114 Tuxedo Avenue,,West Palm Beach,Florida,33405,,,,3114 Tuxedo Avenue,,West Palm Beach,Florida,33405,,Approved,4/7/2025,Accepted,4/7/2025
District 4,Mine,Aggregate,94209,VULCAN MATERIALS COMPANY,Vulcan Materials Company,Steven Wakelee,wakelees@vmcmail.com,(352) 250-2147,12525 RANGE LINE RD.,,PORT ST. LUCIE,Florida,34987,,27.220612,-80.482233,12525 RANGE LINE RD.,,PORT ST. LUCIE,Florida,34987,,Approved,12/10/2001,Accepted,9/23/2016
District 4,Mine,Aggregate,94488,Stewart Materials LLC,Stewart Materials LLC,ONIEL GARDNER,ogardner@stewartmining.com,(772) 464-4499,13575 INDRIO RD.,,FT. PIERCE,Florida,34945,,27.517070,-80.466030,P.O. BOX 4332,,FT. PIERCE,Florida,34948,,Inactivated,6/28/2022,Accepted,9/23/2016
District 4,Mine,Aggregate,94745,Recycling Rocks,"Recycling Rocks, LLC",Daniel Kreiser,dkreiser@ecrfl.com,(772) 370-0555,6100 MIDWAY RD,,FORT PIERCE,Florida,34979,,27.375490,-80.385750,PO BOX 13854,,FORT PIERCE,Florida,34979,,Inactivated,6/28/2022,Accepted,9/23/2016
District 4,Mine,Aggregate,94789,Stewart Materials LLC,Stewart Materials LLC,ONIEL GARDNER,oneil@stewartmaterials.com,(772) 370-8511,13700 INDRIO ROAD,,FT. PIERCE,Florida,34945,,27.522580,-80.475690,2875 JUPITER PARK DRIVE,SUITE 1100,JUPITER,Florida,33458,,Approved,7/8/2014,Accepted,9/23/2016
District 4,Mine,Aggregate,94907,D.S. Eakins Construction Corporation,D.S. Eakins Construction Corporation,STEVEN EAKINS,steve@dseakins.com,(561) 842-0001,3896 Selvitz Road,,Fort Pierce,Florida,34981,,27.394413,-80.365717,1481 Kinetic Rd,,Lake Park,Florida,33403,,Under Review,5/2/2023,,
District 4,Terminal,Aggregate,TM716,"TITAN AMERICA, LLC.",Titan Florida LLC,ANDREW JARRARD,ajarrard@titanamerica.com,(904) 591-2471,4199 SELVITZ RD.,,FT. PIERCE,Florida,34981,,27.389000,-80.366600,4199 SELVITZ RD.,,FT. PIERCE,Florida,34981,,Approved,3/17/2010,Accepted,9/26/2016
District 4,Terminal,Aggregate,TM868,"CONRAD YELVINGTON DISTRIBUTORS, INC.","Conrad Yelvington Distributors, Inc.",Michael Girard,michael.girard@cydi.com,(386) 257-3157,4199 Selvitz Rd,,Ft. Pierce,Florida,34945,,27.389109,-80.366538,4199 Selvitz Rd,,Ft. Pierce,Florida,34945,,Inactivated,7/17/2023,Accepted,10/22/2019
District 4,Plant,Asphalt,A0404,COMMUNITY ASPHALT CORPORATION,OHLA / Community Asphalt Corporation,Otto Legon,otto.legon@ohla-usa.com,(786) 920-5312,7795 HOOPER ROAD,,WEST PALM BEACH,Florida,33411,,26.681125,-80.171486,7795 HOOPER ROAD,,WEST PALM BEACH,Florida,33411,,Under Review,6/23/2015,Accepted,9/29/2017
District 4,Plant,Asphalt,A0493,Halley Engineering,"Halley Engineering Contractors, Inc.",JULIO LEGANOA,JLEGANOA@HALLEYENG.COM,(305) 883-0055,20125 Southern Blvd,,Loxahatchee,Florida,33470,,26.413240,-80.221370,20125 Southern Blvd,,Loxahatchee,Florida,33470,,Under Review,1/4/2023,Accepted,1/5/2023
District 4,Plant,Asphalt,A0494,"Powerline Paving Group, LLC","Powerline Paving Group, LLC",JOE ZELAYA,jzelaya@powerlinepaving.com,(954) 789-4321,"1700 S Powerline Road, Suit H",,Deerfield,Florida,33442,,,,"1700 S Powerline Road, Suit H",,Deerfield,Florida,33442,,Under Review,7/30/2024,Accepted,10/24/2024
District 4,Plant,Asphalt,A0495,"LP Asphalt, LLC",LP Asphalt LLC,HANNAH MARTEL,hmartel@bellsouth.net,(772) 486-3218,4060 Selvitz Rd,,Ft Pierce,Florida,34981,,,,4060 Selvitz Rd,,Ft Pierce,Florida,34981,,Under Review,7/30/2024,Accepted,7/30/2024
District 4,Plant,Asphalt,A0614,"RANGER CONSTRUCTION INDUSTRIES, INC.","Ranger Construction Industries, Inc.",Patrick Pienkos,patrick.pienkos@rangerconstruction.com,(561) 480-4315,4510 GLADES CUTOFF ROAD,,FT. PIERCE,Florida,34981,,27.394650,-80.370993,4510 GLADES CUTOFF ROAD,,FT. PIERCE,Florida,34981,,Under Review,6/23/2015,Accepted,9/30/2015
District 4,Plant,Asphalt,A0641,"RANGER CONSTRUCTION INDUSTRIES, INC.","Ranger Construction Industries, Inc.",Patrick Pienkos,patrick.pienkos@rangerconstruction.com,(561) 480-4315,101 SANSBURY'S WAY,,WEST PALM BEACH,Florida,33411,,26.685162,-80.196802,101 SANSBURY'S WAY,,WEST PALM BEACH,Florida,33411,,Under Review,6/23/2015,Accepted,10/12/2015
District 4,Plant,Asphalt,A0658,"HARDRIVES, INC.","Hardrives, Inc.",Chris Metzing,hac@hardrivespaving.com,(561) 278-0456,2101 SOUTH CONGRESS AVE.,,DELRAY BEACH,Florida,33445,,26.431204,-80.091684,2101 SOUTH CONGRESS AVE.,,DELRAY BEACH,Florida,33445,,Under Review,6/23/2015,Accepted,9/29/2017
District 4,Plant,Asphalt,A0659,Hardrives Asphalt a Division of Ranger Construction,"Ranger Construction Industries, Inc.",CHRIS SHERLOCK,cjs@hardrivespaving.com,(561) 441-8942,2101 SOUTH CONGRESS AVE.,,DELRAY BEACH,Florida,33445,,26.431204,-80.091684,2101 SOUTH CONGRESS AVE.,,DELRAY BEACH,Florida,33445,,Under Review,12/8/2021,Accepted,12/20/2021
District 4,Plant,Asphalt,A0672,RANGER CONSTRUCTION-SOUTH,"Ranger Construction Industries, Inc.",Patrick Pienkos,patrick.pienkos@rangerconstruction.com,(561) 480-4315,2501 NW 48TH STREET,SEND TO A0715,POMPANO BEACH,Florida,33073,,26.289445,-80.155995,2501 NW 48TH STREET,SEND TO A0715,POMPANO BEACH,Florida,33073,,Under Review,6/23/2015,Inactivated,1/13/2025
District 4,Plant,Asphalt,A0685,"J.W. CHEATHAM, LLC",J.W. Cheatham LLC,Mike Damron,jwcmike@jwcheatham.com,(561) 471-4100,6950 INTERPACE ROAD,,WEST PALM BEACH,Florida,33404,,26.779622,-80.112392,6950 INTERPACE ROAD,,WEST PALM BEACH,Florida,33404,,Under Review,6/23/2015,Accepted,12/9/2015
District 4,Plant,Asphalt,A0697,COMMUNITY ASPHALT CORPORATION,OHLA / Community Asphalt Corporation,Noah Fournier,noah.fournier@ohla-usa.com,(772) 646-3403,2975 Industrial Blvd,,VERO BEACH,Florida,32967,,27.686694,-80.414163,2975 Industrial Blvd,,VERO BEACH,Florida,32967,,Under Review,6/23/2015,Accepted,11/18/2024
District 4,Plant,Asphalt,A0745,"WEEKLEY ASPHALT PAVING, INC.","Weekley Asphalt Paving, Inc.",ED KELLEY,ed@weekleyasp.com,(954) 444-7878,20701 STIRLING ROAD,,PEMBROKE PINES,Florida,33332,,26.044999,-80.425155,20701 STIRLING ROAD,,PEMBROKE PINES,Florida,33332,,Under Review,6/23/2015,Accepted,2/9/2015
District 4,Plant,Asphalt,A0785,"Mancil's Tractor Service, Inc.",Mancil's,,,,8530 SW Jayme Way,,Palm city,Florida,34990,,27.182130,-80.368980,8530 SW Jayme Way,,Palm city,Florida,34990,,Under Review,10/14/2016,Inactivated,10/9/2019
District 4,Plant,Asphalt,A0787,"ETM Solutions, LLC.","ETM Solutions, LLC.",,,,4060 SELVITZ ROAD,,FORT PIERCE,Florida,34950,,27.392414,-80.364420,4060 Selvitz road,,Fort Pierce,Florida,34950,,Under Review,9/5/2018,Accepted,7/7/2021
District 4,Plant,Asphalt,A0792,"C. W. Roberts Contracting, Inc. - Palm city","C. W. Roberts Contracting, Inc. (Asphalt Division)",WILLIAM THAMES,cthames@cwrcontracting.com,(772) 631-2062,8530 SW Jayme Way,,Palm city,Florida,34990,,27.182073,-80.369112,8530 SW Jayme Way,,Palm city,Florida,34990,,Under Review,10/9/2019,Accepted,7/21/2021
District 4,Plant,Asphalt,A0793,Heritage Asphalt-Southland Holdings,Heritage Asphalt-Southland Holdings,,,,20125 Southern Blvd,,Loxahatchee,Florida,33470,,26.413240,-80.221370,"Southland Holdings,LLC",608 Henrietta Creek Road,Roanoke,Texas,76262,,Under Review,10/10/2019,Inactivated,1/25/2023
District 4,Plant,Incidental Precast Products,IPC-06,"CONCRETE IMPRESSIONS OF FLORIDA, INC.","Concrete Impressions of Florida, Inc.",JOSEPH ZACHARA,joe@CIFlorida.com,(813) 899-4284,3802 Selvitz Road,,Fort Pierce,Florida,34950,,27.395832,-80.363348,P.O. BOX 292782,,TAMPA,Florida,336872782,,Under Review,6/23/2015,Accepted,11/8/2024
District 4,Plant,Incidental Precast Products,IPC-47,SEMINOLE PRECAST MANUFACTURING INC.,Seminole Precast,Matt Silver,msilver@seminoleprecast.com,(386) 668-7745,1385 HAMMONDVILLE ROAD,,POMPANO BEACH,Florida,33069,,26.238127,-80.141812,P.O BOX 531059,,DEBARY,Florida,32713,,Under Review,6/23/2015,Inactivated,12/20/2013
District 4,Plant,Incidental Precast Products,IPC-51,Alcrete LLC,Alcrete LLC,Scott Murray,smurray@alcrete.com,(772) 464-1187,350 NORTH ROCK ROAD,,FORT PIERCE,Florida,34945,,27.451700,-80.407500,350 NORTH ROCK ROAD,,FORT PIERCE,Florida,34945,,Under Review,6/23/2015,Inactivated,12/16/2014
District 4,Plant,Incidental Precast Products,IPC-57,"FLORIDA CONCRETE PRODUCTS, LLC",Florida Concrete Products LLC,CARLOS CHAPARRO,cchaparro@fcp-us.com,(305) 216-4578,15900 SW 408 STREET,CARD SOUND ROAD,FLORIDA CITY,Florida,33034,,25.432200,-80.446200,15900 SW 408 STREET,CARD SOUND ROAD,FLORIDA CITY,Florida,33034,,Under Review,6/23/2015,Accepted,9/8/2023
District 4,Plant,Incidental Precast Products,IPC-59,CONDOTTE AMERICA INC.,"MASTEC CIVIL, LLC",JOHN STEBBINS,jstebbins@condotteamerica.com,(305) 975-7128,9100 W 40th Ave,,Hialeah,Florida,33018,,25.904861,-80.365242,9100 W 40TH AVENUE,,HIALEAH,Florida,33018,,Under Review,8/21/2015,Inactivated,11/8/2017
District 4,Plant,Incidental Precast Products,IPC-64,TJ Precast,TJ Precast Corporation,Maykel Perez,quality@tjprecast.com,(305) 720-3455,6600 NW 32ND AVENUE,,MIAMI,Florida,33147,,25.833916,-80.250575,6600 NW 32ND AVENUE,,MIAMI,Florida,33147,,Under Review,9/8/2016,Accepted,8/4/2023
District 4,Plant,Incidental Precast Products,IPC-68,"Precast Specialties, LLC","Precast Specialties, LLC",Brandon DeSantis,bdesantis@PrecastSpecialties.com,(315) 297-7449,3898 Selvitz Road,,Ft. Pierce,Florida,34981,,27.394047,-80.365780,3898 Selvitz Road,,Ft. Pierce,Florida,34981,,Under Review,2/2/2018,Accepted,6/10/2025
District 4,Plant,Incidental Precast Products,IPC-71,Coreslab Structures (Miami) Inc.,"Coreslab Structures, Inc.",Mauricio Rodriguez,marodriguez@coreslab.com,(305) 519-7528,10501 NW 121st Way,,Medley,Florida,33178,,25.877831,-80.370788,10501 NW 121st Way,,Medley,Florida,33178,,Under Review,3/1/2019,Inactivated,12/18/2020
District 4,Plant,Incidental Precast Products,IPC-74,,All American Precast Manufacturing Corp,Idan Robau,idan@allamericanprecast.com,(305) 418-2795,1300 NW 4 Street,,Homestead,Florida,33030,,25.472833,-80.492457,1300 NW 4 Street,,Homestead,Florida,33030,,Under Review,4/2/2020,Accepted,10/8/2024
District 4,Plant,Incidental Precast Products,IPC-75,,"CDS Manufacturing, Inc.",RICHARD GONYEA,richg@cdsmanufacturing.net,(772) 925-2643,16505 SR 60,,Vero Beach,Florida,32966,,27.632538,-80.663058,106 Charles Hayes Sr. Drive,,Gretna,Florida,32332,,Under Review,4/27/2020,Accepted,3/16/2023
District 4,Plant,Non Structural Concrete,86-500,VOLUMETRIC MIXER,Huurr Homes LLC,Jaime Shlimbaum,jaime@huurrhomes.com,(954) 270-1121,2705 Burris Road,,Davie,Florida,33314,,26.084783,-80.213548,2705 Burris Road,Unit 4A,Davie,Florida,33314,,Approved,3/4/2024,,
District 4,Plant,Non Structural Concrete,86-560,SUPERMIX CONCRETE INC.,"Supermix, Inc.",Donald Hammond,dhammond@supermix.com,(786) 721-3089,3575 S.W. 49TH WAY,,DAVIE,Florida,33309,,26.366667,-80.166667,4300 S.W. 74TH AVE.,,MIAMI,Florida,33155,,Inactivated,5/9/2012,,
District 4,Plant,Non Structural Concrete,89-410,FLOCRETE,FLOCRETE LLC,Jacob Bynum,jacob@flo-crete.com,(772) 370-5402,2020 SW Poma Drive,,Palm City,Florida,34990,,27.180588,-80.373788,2020 SW Poma Drive,,Palm City,Florida,34990,,Approved,1/28/2025,,
District 4,Plant,Non Structural Concrete,93-001,I.N.C USA CORP,I.N.C. USA CORPORATION,CAROLINA MONTES,carolina.montes@incspa.com,(954) 822-4991,,,,,,,,,5301 N Federal HWAY,SUITE 275,BOCA RATON,Florida,33487,,Approved,3/10/2025,,
District 4,Plant,Non Structural Concrete,93-050,VOLUMETRIC MIXER,GR Concrete Supply Corp,Leonardo Gonzalez,grallconcrete@gmail.com,(978) 906-4474,1758 Donna Rd,,West Palm Beach,Florida,33049,,26.702450,80.087500,1758 Donna Rd,,West Palm Beach,Florida,33049,,Approved,3/3/2025,,
District 4,Plant,Non Structural Concrete,93-534,"Volumetric Mixer VM01 Serial #C60454HC, VM02 Serial #064955HC, VM03 Serial #C604956HC, and VM04 Serial #C604979HC.",Florida Materials,COREY CHOQUETTE,corey@floridamaterials.com,(561) 662-0699,,,,,,,,,2056 F Road,,Loxahatchee,Florida,33470,,Approved,3/8/2023,,
District 4,Plant,Non Structural Concrete,93-535,Volumetric Concrete Mixer,Interstate concrete services,PEDRO CABRERA,pedroc@interstateconcrete.net,(786) 499-3609,1180 SW 10th Street,,Delray Beach,Florida,33444,,26.445380,80.086220,1180 SW 10th Street,,Delray Beach,Florida,33444,,Under Review,2/24/2025,,
District 4,Plant,Non Structural Concrete,94-533,CONTINENTAL CONCRETE,Continental Concrete,JOSEPH LEOTAUD,joseph.leotaud@lehighhanson.com,(954) 275-0460,4450 GLADES CUT-OFF RD,,"FT. PIERCE, FL 34981",Florida,34981,,27.394619,-80.370364,13450 W. SUNRISE BLVD,#430,SUNRISE,Florida,33323,,Inactivated,6/23/2015,,
District 4,Plant,Precast Drainage Structures,PC-11,Alcrete LLC,Alcrete LLC,Scott Murray,smurray@alcrete.com,(772) 296-0078,350 NORTH ROCK ROAD,,FORT PIERCE,Florida,34945,,27.451700,-80.407500,350 NORTH ROCK ROAD,,FORT PIERCE,Florida,34945,,Under Review,6/23/2015,Accepted,6/18/2025
District 4,Plant,Precast Drainage Structures,PC-20,US CONCRETE PRODUCTS,U.S.Concrete Products Corporation,STEVE BAILS,steveb@uscpfl.com,(954) 973-0368 x111,1878 NW 21ST STREET,,POMPANO BEACH,Florida,33069,,26.256213,-80.149164,1878 NW 21ST STREET,,POMPANO BEACH,Florida,33069,,Under Review,6/23/2015,Accepted,8/26/2024
District 4,Plant,Precast Drainage Structures,PC-24,RINKER MATERIALS CONCRETE PIPE DIVISION,Rinker Materials Corporation,David Medina,David.Medina@Rinkerpipe.com,(407) 466-7914,13100 NW 118th Avenue,,Miami,Florida,33178,,25.890600,-80.389600,13100 NW 118th Avenue,,Miami,Florida,33178,,Under Review,6/23/2015,Inactivated,5/6/2022
District 4,Plant,Precast Drainage Structures,PC-31,LANDMARK PRECAST,Landmark Precast,ROGER TOMASINO,roger.tomasino@landmarkprecast.com,(786) 271-2220,438 NW 10 AVE,,HOMESTEAD,Florida,33030,,25.473240,-80.492993,PO BOX 902033,,HOMESTEAD,Florida,33090,,Under Review,6/23/2015,Accepted,4/10/2024
District 4,Plant,Precast Drainage Structures,PC-41,"FLORIDA CONCRETE PRODUCTS, LLC",Florida Concrete Products LLC,CARLOS CHAPARRO,cchaparro@fcp-us.com,(305) 216-4578,15900 S.W. 408 STREET,CARD SOUND ROAD,FLORIDA CITY,Florida,33034,,25.432200,-80.446200,15900 S.W. 408 STREET,CARD SOUND ROAD,FLORIDA CITY,Florida,33034,,Under Review,6/23/2015,Accepted,6/13/2023
District 4,Plant,Precast Drainage Structures,PC-42,TJ PRECAST,TJ Precast Corporation,AKSANA GARCIA,production@tjprecast.com,(786) 365-4672,6600 NW 32ND AVENUE,,MIAMI,Florida,33147,,25.833916,-80.250575,6600 NW 32ND AVENUE,,MIAMI,Florida,33147,,Under Review,8/21/2015,Accepted,9/8/2023
District 4,Plant,Precast Drainage Structures,PC-43,All American Precast Manufacturing Corp.,All American Precast Manufacturing Corp,Idan Robau,idan@allamericanprecast.com,(305) 418-2795,1300 NW 4 Street,,Homestead,Florida,33030,,25.472833,-80.492457,1300 NW 4 Street,,Homestead,Florida,33030,,Under Review,10/26/2016,Accepted,9/30/2024
District 4,Plant,Precast Pipe,PI-19,RINKER MATERIALS CONCRETE PIPE DIVISION,Rinker Materials Corporation,David Medina,David.Medina@Rinkerpipe.com,(407) 466-7914,13100 NW 118th Avenue,,Miami,Florida,33178,,25.890600,-80.389600,13100 NW 118th Avenue,,Miami,Florida,33178,,Under Review,6/23/2015,Accepted,6/16/2025
District 4,Plant,Prestressed Concrete Products,PCP87-157,"THE DE MOYA GROUP, INC.","The de Moya Group, Inc.",LAWRENCE GARRET,lawrence.garret@demoya.com,(305) 505-0062,17301 W. OKEECHOBEE ROAD,,MIAMI,Florida,33018,,25.930867,-80.423709,14600 SW. 136 STREET,,MIAMI,Florida,33186,,Under Review,6/23/2015,Accepted,2/10/2023
District 4,Plant,Prestressed Concrete Products,PCP87-158,"Coreslab Structures (Miami), Inc.","Coreslab Structures, Inc.",Mauricio Rodriguez,marodriguez@coreslab.com,(305) 519-7528,10501 NW 121st Way,,Medley,Florida,33178,,25.877831,-80.370788,10501 NW 121st Way,,Medley,Florida,33178,,Under Review,3/22/2019,Inactivated,12/18/2020
District 4,Plant,Prestressed Concrete Products,PCP87-200,"FLORIDA CONCRETE PRODUCTS, LLC",Florida Concrete Products LLC,CARLOS CHAPARRO,cchaparro@alcrete.com,(305) 216-4578,15900 S.W.  408 STREET,CARD SOUND ROAD,FLORIDA CITY,Florida,33034,,25.432200,-80.446200,15900 S.W.  408 STREET,CARD SOUND ROAD,FLORIDA CITY,Florida,33034,,Under Review,6/23/2015,Accepted,7/17/2025
District 4,Plant,Prestressed Concrete Products,PCP88-001,CDS MANUFACTURING INC.,"CDS Manufacturing, Inc.",RICHARD GONYEA,Richg@cdsmanufacturing.net,(772) 925-2643,16505 SR 60,,Vero Beach,Florida,32966,,27.632538,-80.663058,106 Charles Hayes Sr. Drive,,Gretna,Florida,32332,,Under Review,7/20/2017,Accepted,9/20/2024
District 4,Plant,Structural Concrete,86-077,CEMEX,"Cemex, Inc. - Concrete Division",ALBERT J. ROMANACH,AlbertoJ.Romanach@Cemex.com,(305) 558-0315,1050 NE 5TH TERRACE,,FORT LAUDERDALE,Florida,33334,,26.138662,-80.137678,1501 BELVEDERE ROAD,,WEST PALM BEACH,Florida,33406,,Under Review,6/23/2015,Inactivated,7/13/2022
District 4,Plant,Structural Concrete,86-129,CEMEX,"Cemex, Inc. - Concrete Division",ALBERT J. ROMANACH,AlbertoJ.Romanach@Cemex.com,(305) 558-0315,1150 NW 24TH STREET,,POMPANO BEACH,Florida,33064,,26.260167,-80.139044,1501 BELVEDERE ROAD,,WEST PALN BEACH,Florida,33406,,Under Review,6/23/2015,Accepted,9/11/2023
District 4,Plant,Structural Concrete,86-190,CEMEX,"Cemex, Inc. - Concrete Division",ALBERT J. ROMANACH,AlbertoJ.Romanach@Cemex.com,(305) 558-0315,29 SW 33 STREET,,FORT LAUDERDALE,Florida,33315,,26.083704,-80.139623,1501 BELVEDERE ROAD,,WEST PALM BEACH,Florida,33406,,Under Review,6/23/2015,Accepted,12/5/2022
District 4,Plant,Structural Concrete,86-256,CEMEX,"Cemex, Inc. - Concrete Division",ALBERT J. ROMANACH,AlbertoJ.Romanach@Cemex.com,(305) 558-0315,17301 PINES BLVD.,,PEMBROKE PINES,Florida,33029,,26.009028,-80.378517,1501 BELVEDERE ROAD,,WEST PALM BEACH,Florida,33406,,Under Review,6/23/2015,Accepted,1/18/2022
District 4,Plant,Structural Concrete,86-257,TITAN,Titan Florida LLC,PHONG TRUONG,ptruong@titanamerica.com,(305) 525-8542,1385 HAMMONDVILLE ROAD,,POMPANO BEACH,Florida,33069,,26.237209,-80.141229,2500 SW 2ND AVENUE,,FT LAUDERDALE,Florida,33315,,Under Review,6/23/2015,Accepted,4/24/2020
District 4,Plant,Structural Concrete,86-271,TITAN,Titan Florida LLC,PHONG TRUONG,ptruong@titanamerica.com,(305) 525-8542,2500 SW 2ND AVE.,,FORT LAUDERDALE,Florida,33315,,26.090978,-80.142997,2500 SW 2ND AVE,,FORT LAUDERDALE,Florida,33315,,Under Review,6/23/2015,Accepted,2/3/2022
District 4,Plant,Structural Concrete,86-382,ARGOS,"Quikrete Construction Materials, LLC",TODD FLOURNAH,tflournah@argos-us.com,(470) 963-0101,1480 S. Powerline Rd.,,Deerfield Beach,Florida,33624,,26.297832,-80.151689,5920 W.Linebaugh Ave.,,Tampa,Florida,33624,,Under Review,4/13/2017,Inactivated,10/10/2022
District 4,Plant,Structural Concrete,86-442,SUPERMIX,"Supermix, Inc.",Donald Hammond,dhammond@supermix.com,(786) 721-3089,19681 S.W. 69TH PL.,,PEMBROKE PINES,Florida,33332,,26.031739,-80.411992,4300 S.W. 74TH AVE.,,MIAMI,Florida,33155,,Under Review,6/23/2015,Inactivated,7/25/2022
District 4,Plant,Structural Concrete,86-460,SUPERMIX,"Supermix, Inc.",Donald Hammond,dhammond@supermix.com,(786) 721-3089,3575 S.W. 49TH WAY,,DAVIE,Florida,33309,,25.730383,-80.315147,4300 S.W. 74TH AVE.,,MIAMI,Florida,33155,,Under Review,6/23/2015,Accepted,8/12/2019
District 4,Plant,Structural Concrete,86-561,TITAN,Titan Florida LLC,PHONG TRUONG,ptruong@titanamerica.com,(305) 525-8542,2500 S.W. 2nd Ave.,,Ft. Lauderdale,Florida,33315,,26.090875,-80.143230,2500 S.W. 2nd Ave.,,Ft. Lauderdale,Florida,33315,,Under Review,8/24/2016,Accepted,2/3/2022
District 4,Plant,Structural Concrete,86-563,OZINGA,"Ozinga South Florida, Inc",HOWARD LIVINGSTON,howardlivingston@ozinga.com,(786) 910-2121,2401 College Drive,,Davie,Florida,33317,,26.090427,-80.235574,2401 College Drive,,Davie,Florida,33317,,Approved,1/3/2018,Accepted,6/24/2022
